"SampleID","Antigen","MFI"
271,"RBP2b.P87",9597
271,"LF016",5792.5
271,"MSP8",1448
696,"EBP",311
696,"PTEX150",1172
696,"PvCSS",304
696,"LF005",1114
696,"LF010",2692
696,"RBP2b.P87",7566
696,"LF016",3918
696,"MSP8",375
729,"EBP",6273
729,"PTEX150",75.5
729,"PvCSS",1098
729,"LF005",89.5
729,"LF010",36
729,"RBP2b.P87",52
729,"LF016",94
729,"MSP8",115
13,"EBP",148
13,"PTEX150",461
13,"PvCSS",95
13,"LF005",85
13,"LF010",91.5
13,"RBP2b.P87",881.5
13,"LF016",1123.5
13,"MSP8",1053.5
14,"EBP",51
14,"PTEX150",111
14,"PvCSS",69
14,"LF005",82
14,"LF010",38.5
14,"RBP2b.P87",51
14,"LF016",384
14,"MSP8",180
15,"EBP",802.5
15,"PTEX150",180
15,"PvCSS",995
15,"LF005",731
15,"LF010",1464
15,"RBP2b.P87",1005
15,"LF016",6728.5
15,"MSP8",888
16,"EBP",70
16,"PTEX150",217.5
16,"PvCSS",288
16,"LF005",91
16,"LF010",320
16,"RBP2b.P87",205
16,"LF016",17442
16,"MSP8",202
17,"EBP",46
17,"PTEX150",213.5
17,"PvCSS",53
17,"LF005",510.5
17,"LF010",741
17,"RBP2b.P87",5435
17,"LF016",1130
17,"MSP8",317.5
290,"EBP",1177
290,"PTEX150",917.5
290,"PvCSS",169
290,"LF005",532
290,"LF010",15023
290,"RBP2b.P87",7889
290,"LF016",10752.5
290,"MSP8",2694
291,"EBP",50.5
291,"PTEX150",125
291,"PvCSS",82
291,"LF005",100
291,"LF010",150
291,"RBP2b.P87",147.5
291,"LF016",172
291,"MSP8",99
292,"EBP",1854
292,"PTEX150",377
292,"PvCSS",99
292,"LF005",1150
292,"LF010",243
292,"RBP2b.P87",8211
292,"LF016",506
292,"MSP8",5401.5
293,"EBP",187
293,"PTEX150",145.5
293,"PvCSS",83
293,"LF005",482.5
293,"LF010",59
293,"RBP2b.P87",574
293,"LF016",1287
293,"MSP8",296
295,"EBP",6334.5
295,"PTEX150",188
295,"PvCSS",1139
295,"LF005",324
295,"LF010",2538
295,"RBP2b.P87",9667.5
295,"LF016",1686
295,"MSP8",2194
175,"EBP",241
175,"PTEX150",150
175,"PvCSS",407
175,"LF005",133
175,"LF010",488
175,"RBP2b.P87",6446
175,"LF016",6956
175,"MSP8",1758.5
176,"EBP",102
176,"PTEX150",381
176,"PvCSS",88
176,"LF005",104
176,"LF010",67
176,"RBP2b.P87",155
176,"LF016",121
176,"MSP8",101.5
177,"EBP",1329
177,"PTEX150",325
177,"PvCSS",113
177,"LF005",104
177,"LF010",373
177,"RBP2b.P87",1314
177,"LF016",1514
177,"MSP8",884
178,"EBP",838
178,"PTEX150",274.5
178,"PvCSS",209
178,"LF005",110
178,"LF010",56
178,"RBP2b.P87",121
178,"LF016",2259
178,"MSP8",1062
179,"EBP",274.5
179,"PTEX150",135
179,"PvCSS",56
179,"LF005",53
179,"LF010",41
179,"RBP2b.P87",55
179,"LF016",72
179,"MSP8",119
180,"EBP",1841.5
180,"PTEX150",861
180,"PvCSS",140
180,"LF005",108
180,"LF010",95
180,"RBP2b.P87",246
180,"LF016",89.5
180,"MSP8",1058
181,"EBP",250.5
181,"PTEX150",335
181,"PvCSS",96.5
181,"LF005",270
181,"LF010",175
181,"RBP2b.P87",841
181,"LF016",908
181,"MSP8",1577.5
182,"EBP",1643
182,"PTEX150",276
182,"PvCSS",152
182,"LF005",256
182,"LF010",292.5
182,"RBP2b.P87",2900
182,"LF016",354
182,"MSP8",2163.5
183,"EBP",2631
183,"PTEX150",1050
183,"PvCSS",293
183,"LF005",299
183,"LF010",136
183,"RBP2b.P87",2650
183,"LF016",534
183,"MSP8",827
184,"EBP",530
184,"PTEX150",1083
184,"PvCSS",412
184,"LF005",229
184,"LF010",495
184,"RBP2b.P87",9209.5
184,"LF016",828.5
184,"MSP8",229
185,"EBP",1575
185,"PTEX150",372
185,"PvCSS",1971
185,"LF005",142
185,"LF010",3218
185,"RBP2b.P87",1715.5
185,"LF016",369
185,"MSP8",273.5
186,"EBP",852
186,"PTEX150",5683
186,"PvCSS",3921
186,"LF005",688
186,"LF010",161.5
186,"RBP2b.P87",8691.5
186,"LF016",2885
186,"MSP8",645.5
187,"EBP",79
187,"PTEX150",277
187,"PvCSS",92
187,"LF005",269
187,"LF010",69
187,"RBP2b.P87",94
187,"LF016",865
187,"MSP8",304
188,"EBP",60
188,"PTEX150",122
188,"PvCSS",89
188,"LF005",73.5
188,"LF010",53
188,"RBP2b.P87",120
188,"LF016",85
188,"MSP8",697
189,"EBP",108.5
189,"PTEX150",678.5
189,"PvCSS",96.5
189,"LF005",3948
189,"LF010",61
189,"RBP2b.P87",148
189,"LF016",335
189,"MSP8",366
190,"EBP",82
190,"PTEX150",237
190,"PvCSS",70
190,"LF005",540.5
190,"LF010",77
190,"RBP2b.P87",86
190,"LF016",124.5
190,"MSP8",136
191,"EBP",268
191,"PTEX150",657
191,"PvCSS",120.5
191,"LF005",699
191,"LF010",371
191,"RBP2b.P87",645
191,"LF016",1164
191,"MSP8",347.5
192,"EBP",78.5
192,"PTEX150",130
192,"PvCSS",68
192,"LF005",492
192,"LF010",102
192,"RBP2b.P87",918.5
192,"LF016",213
192,"MSP8",133
193,"EBP",257
193,"PTEX150",183.5
193,"PvCSS",3251
193,"LF005",332.5
193,"LF010",567.5
193,"RBP2b.P87",2785
193,"LF016",13839
193,"MSP8",824
194,"EBP",61
194,"PTEX150",87.5
194,"PvCSS",176
194,"LF005",79
194,"LF010",49.5
194,"RBP2b.P87",711
194,"LF016",737
194,"MSP8",149.5
195,"EBP",42
195,"PTEX150",56
195,"PvCSS",69
195,"LF005",52
195,"LF010",39
195,"RBP2b.P87",56.5
195,"LF016",6170
195,"MSP8",166
196,"EBP",57
196,"PTEX150",64
196,"PvCSS",50
196,"LF005",60
196,"LF010",39
196,"RBP2b.P87",47
196,"LF016",93
196,"MSP8",153.5
197,"EBP",2414
197,"PTEX150",226.5
197,"PvCSS",117
197,"LF005",1221
197,"LF010",115
197,"RBP2b.P87",1144
197,"LF016",496.5
197,"MSP8",247
198,"EBP",164
198,"PTEX150",883
198,"PvCSS",202
198,"LF005",312
198,"LF010",63
198,"RBP2b.P87",1055
198,"LF016",204.5
198,"MSP8",375
199,"EBP",267
199,"PTEX150",461.5
199,"PvCSS",332
199,"LF005",511
199,"LF010",2674
199,"RBP2b.P87",192
199,"LF016",413
199,"MSP8",191
200,"EBP",138
200,"PTEX150",429.5
200,"PvCSS",440
200,"LF005",145
200,"LF010",83.5
200,"RBP2b.P87",2029
200,"LF016",362.5
200,"MSP8",2911
201,"EBP",93
201,"PTEX150",356
201,"PvCSS",59.5
201,"LF005",90
201,"LF010",49.5
201,"RBP2b.P87",2380
201,"LF016",562
201,"MSP8",159
202,"EBP",126
202,"PTEX150",327
202,"PvCSS",346
202,"LF005",97
202,"LF010",52
202,"RBP2b.P87",119
202,"LF016",6366
202,"MSP8",1101
203,"EBP",51
203,"PTEX150",69
203,"PvCSS",645
203,"LF005",151.5
203,"LF010",45
203,"RBP2b.P87",71
203,"LF016",74.5
203,"MSP8",880
204,"EBP",1234
204,"PTEX150",1379
204,"PvCSS",338
204,"LF005",343.5
204,"LF010",578
204,"RBP2b.P87",5388
204,"LF016",381
204,"MSP8",185
205,"EBP",1404
205,"PTEX150",233
205,"PvCSS",899.5
205,"LF005",289.5
205,"LF010",67
205,"RBP2b.P87",2369
205,"LF016",166
205,"MSP8",503.5
206,"EBP",589.5
206,"PTEX150",345.5
206,"PvCSS",100.5
206,"LF005",174
206,"LF010",97
206,"RBP2b.P87",6876
206,"LF016",447
206,"MSP8",2881
516,"EBP",260
516,"PTEX150",95
516,"PvCSS",117.5
516,"LF005",141
516,"LF010",83
516,"RBP2b.P87",725
516,"LF016",766.5
516,"MSP8",415
517,"EBP",68
517,"PTEX150",136
517,"PvCSS",66
517,"LF005",75.5
517,"LF010",52
517,"RBP2b.P87",84
517,"LF016",115
517,"MSP8",110
518,"EBP",53
518,"PTEX150",105
518,"PvCSS",80.5
518,"LF005",99
518,"LF010",42
518,"RBP2b.P87",79
518,"LF016",69
518,"MSP8",495
519,"EBP",45
519,"PTEX150",161
519,"PvCSS",71
519,"LF005",453.5
519,"LF010",34.5
519,"RBP2b.P87",42
519,"LF016",93
519,"MSP8",188.5
520,"EBP",33
520,"PTEX150",35
520,"PvCSS",48.5
520,"LF005",57
520,"LF010",32
520,"RBP2b.P87",41.5
520,"LF016",57.5
520,"MSP8",450
521,"EBP",264
521,"PTEX150",147
521,"PvCSS",130.5
521,"LF005",65
521,"LF010",39
521,"RBP2b.P87",463
521,"LF016",79
521,"MSP8",128.5
523,"EBP",39.5
523,"PTEX150",107
523,"PvCSS",61
523,"LF005",76
523,"LF010",37
523,"RBP2b.P87",57
523,"LF016",96
523,"MSP8",146
524,"EBP",3105
524,"PTEX150",128.5
524,"PvCSS",370
524,"LF005",147
524,"LF010",136
524,"RBP2b.P87",6290.5
524,"LF016",81.5
524,"MSP8",403.5
525,"EBP",1329
525,"PTEX150",189
525,"PvCSS",72
525,"LF005",131
525,"LF010",107
525,"RBP2b.P87",4654
525,"LF016",202
525,"MSP8",83
526,"EBP",39
526,"PTEX150",706
526,"PvCSS",56
526,"LF005",53.5
526,"LF010",33
526,"RBP2b.P87",52
526,"LF016",58.5
526,"MSP8",53
527,"EBP",337
527,"PTEX150",397
527,"PvCSS",78
527,"LF005",63
527,"LF010",59.5
527,"RBP2b.P87",1410
527,"LF016",57
527,"MSP8",164
528,"EBP",89
528,"PTEX150",381
528,"PvCSS",137
528,"LF005",69
528,"LF010",63
528,"RBP2b.P87",91
528,"LF016",88
528,"MSP8",431.5
529,"EBP",73
529,"PTEX150",178.5
529,"PvCSS",127
529,"LF005",102
529,"LF010",71.5
529,"RBP2b.P87",214
529,"LF016",120
529,"MSP8",257
530,"EBP",62
530,"PTEX150",198
530,"PvCSS",67
530,"LF005",47
530,"LF010",46
530,"RBP2b.P87",203
530,"LF016",502.5
530,"MSP8",188
531,"EBP",139
531,"PTEX150",147
531,"PvCSS",65.5
531,"LF005",143
531,"LF010",44
531,"RBP2b.P87",1183
531,"LF016",54
531,"MSP8",336
532,"EBP",44
532,"PTEX150",91
532,"PvCSS",52
532,"LF005",64.5
532,"LF010",38
532,"RBP2b.P87",68
532,"LF016",95
532,"MSP8",175
533,"EBP",1123.5
533,"PTEX150",301
533,"PvCSS",93.5
533,"LF005",65
533,"LF010",758
533,"RBP2b.P87",1100
533,"LF016",183
533,"MSP8",283
534,"EBP",1888
534,"PTEX150",348
534,"PvCSS",102
534,"LF005",83.5
534,"LF010",402
534,"RBP2b.P87",1107
534,"LF016",165
534,"MSP8",266
535,"EBP",115
535,"PTEX150",520
535,"PvCSS",57
535,"LF005",51.5
535,"LF010",51
535,"RBP2b.P87",519.5
535,"LF016",173
535,"MSP8",75
537,"EBP",206.5
537,"PTEX150",140
537,"PvCSS",200
537,"LF005",256
537,"LF010",150
537,"RBP2b.P87",2952
537,"LF016",6564
537,"MSP8",269
538,"EBP",47
538,"PTEX150",46.5
538,"PvCSS",52
538,"LF005",59.5
538,"LF010",36
538,"RBP2b.P87",46
538,"LF016",82
538,"MSP8",102.5
539,"EBP",40
539,"PTEX150",136
539,"PvCSS",175
539,"LF005",152
539,"LF010",55
539,"RBP2b.P87",44
539,"LF016",38
539,"MSP8",248
540,"EBP",46
540,"PTEX150",129
540,"PvCSS",57
540,"LF005",70
540,"LF010",39
540,"RBP2b.P87",48
540,"LF016",55.5
540,"MSP8",65
541,"EBP",88.5
541,"PTEX150",74
541,"PvCSS",289
541,"LF005",71
541,"LF010",38
541,"RBP2b.P87",74
541,"LF016",88.5
541,"MSP8",80.5
542,"EBP",218
542,"PTEX150",407
542,"PvCSS",55.5
542,"LF005",74
542,"LF010",43.5
542,"RBP2b.P87",1135
542,"LF016",67
542,"MSP8",97.5
545,"EBP",33
545,"PTEX150",75
545,"PvCSS",158.5
545,"LF005",44
545,"LF010",30
545,"RBP2b.P87",32
545,"LF016",53
545,"MSP8",59
550,"EBP",37
550,"PTEX150",106
550,"PvCSS",80.5
550,"LF005",217.5
550,"LF010",39
550,"RBP2b.P87",58
550,"LF016",323
550,"MSP8",120
55,"EBP",43.5
55,"PTEX150",58
55,"PvCSS",91
55,"LF005",109
55,"LF010",47
55,"RBP2b.P87",70
55,"LF016",58
55,"MSP8",114
10,"EBP",2965
10,"PTEX150",1261
10,"PvCSS",2899
10,"LF005",4204
10,"LF010",23625
10,"RBP2b.P87",8322
10,"LF016",19093
10,"MSP8",5957
647,"EBP",65
647,"PTEX150",227
647,"PvCSS",98
647,"LF005",61
647,"LF010",59
647,"RBP2b.P87",80
647,"LF016",73
647,"MSP8",184
7,"EBP",34.5
7,"PTEX150",62
7,"PvCSS",66
7,"LF005",52
7,"LF010",31
7,"RBP2b.P87",36
7,"LF016",45
7,"MSP8",48
419,"EBP",42
419,"PTEX150",97
419,"PvCSS",47
419,"LF005",665
419,"LF010",36
419,"RBP2b.P87",53
419,"LF016",80
419,"MSP8",387
425,"EBP",4141
425,"PTEX150",96
425,"PvCSS",223.5
425,"LF005",342
425,"LF010",357
425,"RBP2b.P87",7792
425,"LF016",5282
425,"MSP8",200
547,"EBP",240
547,"PTEX150",439
547,"PvCSS",72
547,"LF005",60
547,"LF010",44
547,"RBP2b.P87",56
547,"LF016",71
547,"MSP8",209
548,"EBP",1869.5
548,"PTEX150",367
548,"PvCSS",206
548,"LF005",96
548,"LF010",40
548,"RBP2b.P87",45
548,"LF016",78.5
548,"MSP8",579
104,"EBP",72
104,"PTEX150",120.5
104,"PvCSS",77
104,"LF005",97
104,"LF010",40
104,"RBP2b.P87",75
104,"LF016",86
104,"MSP8",106
105,"EBP",49
105,"PTEX150",121
105,"PvCSS",68
105,"LF005",73
105,"LF010",42
105,"RBP2b.P87",80
105,"LF016",88
105,"MSP8",111
400,"EBP",124
400,"PTEX150",1446.5
400,"PvCSS",461
400,"LF005",7583
400,"LF010",470.5
400,"RBP2b.P87",1588.5
400,"LF016",11824
400,"MSP8",1554
402,"EBP",52
402,"PTEX150",328
402,"PvCSS",49.5
402,"LF005",42
402,"LF010",31
402,"RBP2b.P87",37
402,"LF016",45
402,"MSP8",714
668,"EBP",3907.5
668,"PTEX150",214
668,"PvCSS",166
668,"LF005",184
668,"LF010",2238
668,"RBP2b.P87",5135.5
668,"LF016",105.5
668,"MSP8",448
667,"EBP",98
667,"PTEX150",147
667,"PvCSS",129
667,"LF005",548
667,"LF010",1916
667,"RBP2b.P87",425
667,"LF016",1989.5
667,"MSP8",1187
268,"EBP",44
268,"PTEX150",138
268,"PvCSS",68
268,"LF005",76
268,"LF010",44
268,"RBP2b.P87",54
268,"LF016",87
268,"MSP8",86
125,"EBP",8485
125,"PTEX150",1825
125,"PvCSS",9090
125,"LF005",1261
125,"LF010",4309.5
125,"RBP2b.P87",10440
125,"LF016",15770
125,"MSP8",2998
216,"EBP",71.5
216,"PTEX150",738
216,"PvCSS",52
216,"LF005",145
216,"LF010",102
216,"RBP2b.P87",209
216,"LF016",151
216,"MSP8",89.5
229,"EBP",34
229,"PTEX150",87.5
229,"PvCSS",103
229,"LF005",47
229,"LF010",32
229,"RBP2b.P87",44.5
229,"LF016",51
229,"MSP8",38
230,"EBP",44.5
230,"PTEX150",22.5
230,"PvCSS",41
230,"LF005",44
230,"LF010",31
230,"RBP2b.P87",51
230,"LF016",32
230,"MSP8",50
549,"EBP",1041
549,"PTEX150",261
549,"PvCSS",63.5
549,"LF005",794.5
549,"LF010",472
549,"RBP2b.P87",2053
549,"LF016",4337
549,"MSP8",742
18,"EBP",53
18,"PTEX150",193
18,"PvCSS",67.5
18,"LF005",92
18,"LF010",40
18,"RBP2b.P87",1709
18,"LF016",44
18,"MSP8",73
662,"EBP",7549
662,"PTEX150",324
662,"PvCSS",1420
662,"LF005",370
662,"LF010",114
662,"RBP2b.P87",9755
662,"LF016",4013
662,"MSP8",1500
661,"EBP",4408
661,"PTEX150",199
661,"PvCSS",254.5
661,"LF005",799
661,"LF010",363
661,"RBP2b.P87",6713
661,"LF016",14704.5
661,"MSP8",5858.5
691,"EBP",84
691,"PTEX150",1028
691,"PvCSS",721
691,"LF005",91
691,"LF010",1051
691,"RBP2b.P87",7980
691,"LF016",1959
691,"MSP8",948
604,"EBP",416.5
604,"PTEX150",177
604,"PvCSS",684
604,"LF005",84.5
604,"LF010",131
604,"RBP2b.P87",123
604,"LF016",178
604,"MSP8",205
609,"EBP",2644
609,"PTEX150",350
609,"PvCSS",332.5
609,"LF005",466
609,"LF010",664
609,"RBP2b.P87",4792
609,"LF016",245
609,"MSP8",943.5
616,"EBP",121
616,"PTEX150",53.5
616,"PvCSS",44
616,"LF005",506
616,"LF010",35
616,"RBP2b.P87",55
616,"LF016",47
616,"MSP8",303
655,"EBP",59
655,"PTEX150",1230
655,"PvCSS",377
655,"LF005",178
655,"LF010",57.5
655,"RBP2b.P87",456
655,"LF016",593.5
655,"MSP8",265
656,"EBP",52
656,"PTEX150",117.5
656,"PvCSS",110.5
656,"LF005",108
656,"LF010",40
656,"RBP2b.P87",213
656,"LF016",233
656,"MSP8",297
467,"EBP",830.5
467,"PTEX150",102
467,"PvCSS",68
467,"LF005",89
467,"LF010",54.5
467,"RBP2b.P87",1747
467,"LF016",712
467,"MSP8",187.5
784,"EBP",59
784,"PTEX150",63
784,"PvCSS",64
784,"LF005",62
784,"LF010",48
784,"RBP2b.P87",105
784,"LF016",187.5
784,"MSP8",61
785,"EBP",45.5
785,"PTEX150",31
785,"PvCSS",69
785,"LF005",60
785,"LF010",40
785,"RBP2b.P87",66
785,"LF016",90
785,"MSP8",398
788,"EBP",49
788,"PTEX150",106
788,"PvCSS",86
788,"LF005",468
788,"LF010",52
788,"RBP2b.P87",67
788,"LF016",87.5
788,"MSP8",258.5
593,"EBP",85
593,"PTEX150",276
593,"PvCSS",535
593,"LF005",77
593,"LF010",144
593,"RBP2b.P87",4146
593,"LF016",294
593,"MSP8",390.5
251,"EBP",75
251,"PTEX150",118
251,"PvCSS",62
251,"LF005",117
251,"LF010",47
251,"RBP2b.P87",3023
251,"LF016",1833
251,"MSP8",1064
566,"EBP",149
566,"PTEX150",330
566,"PvCSS",60
566,"LF005",273
566,"LF010",416.5
566,"RBP2b.P87",542
566,"LF016",1188
566,"MSP8",235
565,"EBP",33.5
565,"PTEX150",61
565,"PvCSS",40
565,"LF005",46
565,"LF010",33
565,"RBP2b.P87",48
565,"LF016",39
565,"MSP8",52
594,"EBP",51.5
594,"PTEX150",102
594,"PvCSS",81
594,"LF005",58
594,"LF010",40.5
594,"RBP2b.P87",58.5
594,"LF016",62
594,"MSP8",137
787,"EBP",444
787,"PTEX150",225.5
787,"PvCSS",77
787,"LF005",875
787,"LF010",204.5
787,"RBP2b.P87",5551
787,"LF016",9459.5
787,"MSP8",436
26,"EBP",88
26,"PTEX150",4893.5
26,"PvCSS",251
26,"LF005",2652.5
26,"LF010",805
26,"RBP2b.P87",124
26,"LF016",8523
26,"MSP8",18315
596,"EBP",1663.5
596,"PTEX150",203.5
596,"PvCSS",54
596,"LF005",65
596,"LF010",72
596,"RBP2b.P87",854
596,"LF016",67.5
596,"MSP8",136.5
25,"EBP",37
25,"PTEX150",248
25,"PvCSS",57
25,"LF005",56
25,"LF010",34.5
25,"RBP2b.P87",46
25,"LF016",46
25,"MSP8",148
11,"EBP",79.5
11,"PTEX150",151.5
11,"PvCSS",55
11,"LF005",47
11,"LF010",48
11,"RBP2b.P87",449.5
11,"LF016",75.5
11,"MSP8",66
12,"EBP",47
12,"PTEX150",83
12,"PvCSS",157.5
12,"LF005",96
12,"LF010",42
12,"RBP2b.P87",59
12,"LF016",69
12,"MSP8",118
252,"EBP",640
252,"PTEX150",373.5
252,"PvCSS",147.5
252,"LF005",2684.5
252,"LF010",2668
252,"RBP2b.P87",4454
252,"LF016",14143
252,"MSP8",2755
253,"EBP",79
253,"PTEX150",58
253,"PvCSS",57
253,"LF005",63
253,"LF010",38
253,"RBP2b.P87",115
253,"LF016",71.5
253,"MSP8",323
286,"EBP",40
286,"PTEX150",77
286,"PvCSS",55
286,"LF005",58
286,"LF010",38
286,"RBP2b.P87",44
286,"LF016",75
286,"MSP8",145
287,"EBP",93
287,"PTEX150",147
287,"PvCSS",54
287,"LF005",176
287,"LF010",45
287,"RBP2b.P87",50
287,"LF016",56.5
287,"MSP8",145
289,"EBP",51
289,"PTEX150",117
289,"PvCSS",51
289,"LF005",50.5
289,"LF010",47
289,"RBP2b.P87",49.5
289,"LF016",74
289,"MSP8",54
1,"EBP",69
1,"PTEX150",320
1,"PvCSS",57
1,"LF005",677.5
1,"LF010",41
1,"RBP2b.P87",54
1,"LF016",61
1,"MSP8",246
2,"EBP",230
2,"PTEX150",320
2,"PvCSS",263
2,"LF005",118
2,"LF010",43
2,"RBP2b.P87",68.5
2,"LF016",75
2,"MSP8",201
3,"EBP",60
3,"PTEX150",495.5
3,"PvCSS",139
3,"LF005",139
3,"LF010",47
3,"RBP2b.P87",96
3,"LF016",112.5
3,"MSP8",1419
4,"EBP",326.5
4,"PTEX150",669
4,"PvCSS",88
4,"LF005",81
4,"LF010",53.5
4,"RBP2b.P87",78
4,"LF016",139
4,"MSP8",164
5,"EBP",77
5,"PTEX150",229
5,"PvCSS",94
5,"LF005",2085.5
5,"LF010",61.5
5,"RBP2b.P87",116
5,"LF016",143
5,"MSP8",550
6,"EBP",400
6,"PTEX150",75.5
6,"PvCSS",63
6,"LF005",71
6,"LF010",47
6,"RBP2b.P87",61.5
6,"LF016",91
6,"MSP8",57
8,"EBP",233
8,"PTEX150",553
8,"PvCSS",72
8,"LF005",121
8,"LF010",49
8,"RBP2b.P87",75
8,"LF016",58
8,"MSP8",156
9,"EBP",50
9,"PTEX150",174
9,"PvCSS",92
9,"LF005",130
9,"LF010",48
9,"RBP2b.P87",52
9,"LF016",130
9,"MSP8",56
272,"EBP",67.5
272,"PTEX150",331
272,"PvCSS",71
272,"LF005",116
272,"LF010",41
272,"RBP2b.P87",73
272,"LF016",106
272,"MSP8",114
274,"EBP",106.5
274,"PTEX150",702
274,"PvCSS",65
274,"LF005",120
274,"LF010",1041
274,"RBP2b.P87",532
274,"LF016",135
274,"MSP8",180
275,"EBP",52
275,"PTEX150",249
275,"PvCSS",54
275,"LF005",66
275,"LF010",43
275,"RBP2b.P87",54
275,"LF016",781
275,"MSP8",2332
276,"EBP",98.5
276,"PTEX150",492
276,"PvCSS",75
276,"LF005",93.5
276,"LF010",104
276,"RBP2b.P87",110
276,"LF016",128
276,"MSP8",121
277,"EBP",42
277,"PTEX150",54
277,"PvCSS",101
277,"LF005",65.5
277,"LF010",44
277,"RBP2b.P87",61
277,"LF016",112
277,"MSP8",368
278,"EBP",870
278,"PTEX150",692
278,"PvCSS",95
278,"LF005",544.5
278,"LF010",1791
278,"RBP2b.P87",4689.5
278,"LF016",6077.5
278,"MSP8",1373
281,"EBP",51.5
281,"PTEX150",193
281,"PvCSS",48
281,"LF005",91
281,"LF010",38
281,"RBP2b.P87",178
281,"LF016",47
281,"MSP8",71.5
282,"EBP",45
282,"PTEX150",104
282,"PvCSS",56
282,"LF005",74
282,"LF010",41
282,"RBP2b.P87",69
282,"LF016",71
282,"MSP8",161
283,"EBP",45
283,"PTEX150",282.5
283,"PvCSS",200.5
283,"LF005",47
283,"LF010",40
283,"RBP2b.P87",52
283,"LF016",46
283,"MSP8",65
284,"EBP",74
284,"PTEX150",136
284,"PvCSS",139
284,"LF005",102.5
284,"LF010",73
284,"RBP2b.P87",116
284,"LF016",190
284,"MSP8",113
285,"EBP",56
285,"PTEX150",1246.5
285,"PvCSS",71
285,"LF005",66
285,"LF010",51
285,"RBP2b.P87",64
285,"LF016",62
285,"MSP8",361
639,"EBP",62
639,"PTEX150",831
639,"PvCSS",113
639,"LF005",104
639,"LF010",83
639,"RBP2b.P87",247.5
639,"LF016",60
639,"MSP8",464
640,"EBP",804
640,"PTEX150",281
640,"PvCSS",131
640,"LF005",429
640,"LF010",13598
640,"RBP2b.P87",2575
640,"LF016",1800
640,"MSP8",307
641,"EBP",40
641,"PTEX150",59.5
641,"PvCSS",59
641,"LF005",56.5
641,"LF010",39
641,"RBP2b.P87",42
641,"LF016",375
641,"MSP8",59
643,"EBP",56
643,"PTEX150",97
643,"PvCSS",59
643,"LF005",1796
643,"LF010",92
643,"RBP2b.P87",58
643,"LF016",80
643,"MSP8",871
644,"EBP",45
644,"PTEX150",262
644,"PvCSS",65.5
644,"LF005",58
644,"LF010",47
644,"RBP2b.P87",55
644,"LF016",84
644,"MSP8",313
645,"EBP",46
645,"PTEX150",79
645,"PvCSS",57
645,"LF005",61
645,"LF010",41
645,"RBP2b.P87",72
645,"LF016",65
645,"MSP8",53
646,"EBP",51
646,"PTEX150",80
646,"PvCSS",119
646,"LF005",326.5
646,"LF010",47.5
646,"RBP2b.P87",72
646,"LF016",162
646,"MSP8",136
648,"EBP",786
648,"PTEX150",399
648,"PvCSS",146
648,"LF005",64
648,"LF010",46
648,"RBP2b.P87",292
648,"LF016",100.5
648,"MSP8",275.5
649,"EBP",76
649,"PTEX150",1616
649,"PvCSS",72
649,"LF005",49
649,"LF010",53
649,"RBP2b.P87",56
649,"LF016",310.5
649,"MSP8",838
650,"EBP",100
650,"PTEX150",159
650,"PvCSS",1413
650,"LF005",61
650,"LF010",60
650,"RBP2b.P87",1609
650,"LF016",162
650,"MSP8",441
651,"EBP",422
651,"PTEX150",2008
651,"PvCSS",583
651,"LF005",211
651,"LF010",1213.5
651,"RBP2b.P87",714
651,"LF016",318
651,"MSP8",303
33,"EBP",86
33,"PTEX150",44
33,"PvCSS",50
33,"LF005",60
33,"LF010",48
33,"RBP2b.P87",48
33,"LF016",90
33,"MSP8",161
39,"EBP",40
39,"PTEX150",62
39,"PvCSS",44
39,"LF005",57.5
39,"LF010",39
39,"RBP2b.P87",53
39,"LF016",57
39,"MSP8",166
40,"EBP",120.5
40,"PTEX150",301
40,"PvCSS",75
40,"LF005",118
40,"LF010",48
40,"RBP2b.P87",303.5
40,"LF016",1292
40,"MSP8",343
41,"EBP",38
41,"PTEX150",92.5
41,"PvCSS",45
41,"LF005",126
41,"LF010",37
41,"RBP2b.P87",43
41,"LF016",1643
41,"MSP8",992.5
46,"EBP",78
46,"PTEX150",118
46,"PvCSS",55
46,"LF005",98
46,"LF010",78
46,"RBP2b.P87",2396
46,"LF016",201
46,"MSP8",176.5
47,"EBP",43
47,"PTEX150",52
47,"PvCSS",54
47,"LF005",61
47,"LF010",44
47,"RBP2b.P87",63
47,"LF016",55
47,"MSP8",89
48,"EBP",464
48,"PTEX150",156
48,"PvCSS",241
48,"LF005",745
48,"LF010",86.5
48,"RBP2b.P87",1235
48,"LF016",6943.5
48,"MSP8",617
49,"EBP",130
49,"PTEX150",90
49,"PvCSS",94
49,"LF005",313
49,"LF010",54
49,"RBP2b.P87",73
49,"LF016",116
49,"MSP8",118
347,"EBP",47
347,"PTEX150",1448
347,"PvCSS",48
347,"LF005",68
347,"LF010",44
347,"RBP2b.P87",60
347,"LF016",57
347,"MSP8",63
357,"EBP",51
357,"PTEX150",93
357,"PvCSS",42
357,"LF005",113
357,"LF010",53
357,"RBP2b.P87",53
357,"LF016",54
357,"MSP8",106
358,"EBP",48
358,"PTEX150",143
358,"PvCSS",61
358,"LF005",823
358,"LF010",45
358,"RBP2b.P87",49
358,"LF016",53
358,"MSP8",306
359,"EBP",317
359,"PTEX150",270
359,"PvCSS",109
359,"LF005",538
359,"LF010",193
359,"RBP2b.P87",1689
359,"LF016",216.5
359,"MSP8",381
