"std_plate","Sample","antigen","eth_mfi","dilution","png_mfi"
10,"S8","RBP2b.P87",576,0.0078125,1091
10,"S8","LF016",10917,0.0078125,2171
10,"S8","PvCSS",107,0.0078125,389.5
10,"S9","LF005",272,0.00390625,300
10,"S9","EBP",305,0.00390625,714
10,"S9","LF010",1114,0.00390625,1383
10,"S9","PTEX150",70,0.00390625,266.5
10,"S9","RBP2b.P87",327,0.00390625,585
10,"S9","LF016",6843,0.00390625,1187
10,"S9","PvCSS",57,0.00390625,192
10,"S10","LF005",152,0.001953125,156
10,"S10","EBP",180,0.001953125,376
10,"S10","LF010",682.5,0.001953125,805.5
10,"S10","PTEX150",51,0.001953125,143
10,"S10","RBP2b.P87",192,0.001953125,307
10,"S10","LF016",4325,0.001953125,662
10,"S10","PvCSS",32,0.001953125,101
2,"S1","LF005",14504.5,1,11061.5
2,"S1","EBP",12506,1,15340
2,"S1","LF010",27055,1,24389
2,"S1","PTEX150",4762.5,1,9445.5
2,"S1","RBP2b.P87",7799.5,1,8172.5
2,"S1","LF016",26420,1,21006
2,"S1","PvCSS",5943,1,11310
2,"S2","LF005",11160,0.5,9030
2,"S2","EBP",9828,0.5,13578
2,"S2","LF010",22600,0.5,21334
2,"S2","PTEX150",2780,0.5,7198.5
2,"S2","RBP2b.P87",6827,0.5,7630
2,"S2","LF016",27277,0.5,19569
2,"S2","PvCSS",3800,0.5,8786
2,"S3","LF005",7050,0.25,6560.5
2,"S3","EBP",6503.5,0.25,10653
2,"S3","LF010",15812,0.25,16401
2,"S3","PTEX150",1731,0.25,5217.5
2,"S3","RBP2b.P87",4954,0.25,6020
2,"S3","LF016",25066,0.25,15775
2,"S3","PvCSS",1925,0.25,6058
2,"S4","LF005",4541,0.125,3946
2,"S4","EBP",4229,0.125,7701
2,"S4","LF010",11044,0.125,11698.5
2,"S4","PTEX150",1052,0.125,2961
2,"S4","RBP2b.P87",3747,0.125,4668.5
2,"S4","LF016",24452,0.125,11334
2,"S4","PvCSS",1111,0.125,3461
2,"S5","LF005",2588.5,0.0625,2144.5
2,"S5","EBP",2540,0.0625,4844.5
2,"S5","LF010",7916,0.0625,7384
2,"S5","PTEX150",631,0.0625,1874
2,"S5","RBP2b.P87",2361.5,0.0625,3141
2,"S5","LF016",22559,0.0625,7194
2,"S5","PvCSS",616,0.0625,1887
2,"S6","LF005",1485,0.03125,1298
2,"S6","EBP",1448,0.03125,2823
2,"S6","LF010",4962,0.03125,5121
